ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
2001,10000.0,1,2,2,22,0,0,0,0,0,0,8602,8728.0,9721.0,9609,9503,9771.0,1158.0,1151.0,339.0,344.0,425.0,195.0,1
2002,20000.0,1,1,1,52,0,-1,-1,-1,0,-1,19965,390.0,390.0,780,780,10400.0,390.0,390.0,780.0,0.0,10400.0,0.0,0
2003,50000.0,2,1,2,23,-1,0,0,0,0,0,15036,15790.0,18202.0,18601,19138,18319.0,1300.0,2701.0,700.0,847.0,655.0,700.0,0
2004,50000.0,2,2,2,33,2,0,0,0,0,0,27752,28787.0,29800.0,30393,31031,33020.0,1487.0,1500.0,1081.0,1121.0,2500.0,0.0,1
2005,320000.0,2,2,2,35,0,0,0,0,0,0,98697,100572.0,103621.0,103720,100136,102167.0,3891.0,5240.0,3616.0,3770.0,4264.0,3345.0,0
2006,20000.0,1,2,2,34,-2,-2,-2,-2,-2,-2,2199,1530.0,750.0,2280,1500,780.0,1530.0,750.0,1140.0,3000.0,780.0,0.0,0
2007,50000.0,1,2,1,40,0,0,0,0,0,0,48219,48978.0,49257.0,19641,20053,19613.0,2037.0,2316.0,690.0,715.0,718.0,690.0,0
2008,340000.0,1,1,1,49,-1,-1,-1,-2,-1,2,1960,1052.0,6730.0,1346,3684,745.0,1228.0,7270.0,2000.0,4325.0,0.0,11271.0,0
2009,360000.0,2,2,1,32,1,-2,-2,-2,-2,-2,-301,-301.0,-301.0,-301,-301,-301.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010,300000.0,2,2,1,33,1,-2,-2,-2,-2,-2,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2011,40000.0,2,2,2,26,0,0,0,0,2,2,31475,32663.0,33813.0,34952,36447,35515.0,2000.0,2000.0,2000.0,2500.0,0.0,1500.0,0
2012,150000.0,1,1,1,51,0,0,2,0,0,0,128968,138260.0,134573.0,136026,97517,47027.0,12900.0,0.0,5399.0,4224.0,1830.0,1889.0,0
2013,20000.0,2,2,2,40,2,2,0,0,0,3,18278,17696.0,19008.0,19083,21871,21236.0,0.0,1612.0,687.0,3100.0,0.0,0.0,1
2014,30000.0,2,3,1,35,1,-2,-1,0,0,-1,-5,-5.0,2605.0,893,895,2328.0,0.0,2610.0,18.0,2.0,2333.0,1.0,0
2015,80000.0,2,2,1,27,-2,-2,-2,-2,-2,-2,390,0.0,780.0,0,0,0.0,390.0,780.0,0.0,0.0,0.0,0.0,0
2016,390000.0,2,3,1,38,-2,-2,-2,-2,-1,-1,241,0.0,0.0,0,739,0.0,0.0,0.0,0.0,739.0,0.0,0.0,1
2017,20000.0,2,2,2,22,1,2,2,2,2,2,5613,5377.0,6920.0,6911,6655,7191.0,0.0,1638.0,251.0,0.0,647.0,0.0,1
2018,200000.0,1,2,1,42,0,0,0,0,0,0,68670,69702.0,70015.0,72073,71690,73661.0,4000.0,4000.0,5000.0,2563.0,5000.0,5000.0,1
2019,80000.0,2,3,1,35,0,0,0,0,0,0,49544,50418.0,51810.0,28964,13059,13488.0,1970.0,2355.0,1500.0,1000.0,646.0,2000.0,0
2020,50000.0,2,2,1,36,2,0,0,0,0,0,50922,50367.0,41627.0,42297,43031,45837.0,1715.0,1991.0,1661.0,1566.0,3526.0,0.0,1
2021,230000.0,2,2,1,38,0,0,0,0,0,0,10906,9692.0,9162.0,10466,9426,8099.0,1364.0,1393.0,2003.0,1000.0,1000.0,500.0,0
2022,190000.0,2,2,2,31,0,0,0,0,0,0,147586,155228.0,160588.0,162241,165794,168951.0,10000.0,7891.0,5743.0,6102.0,6000.0,6307.0,0
2023,260000.0,1,3,1,36,-1,0,0,0,0,0,154462,153799.0,77156.0,73658,70273,67100.0,7425.0,2795.0,2779.0,2947.0,3400.0,5000.0,0
2024,100000.0,2,1,1,39,-1,-1,-1,-1,-1,-1,29449,55139.0,34181.0,12592,71340,32453.0,55139.0,34181.0,12592.0,71340.0,32453.0,37035.0,0
2025,140000.0,1,2,2,41,0,0,0,0,0,0,132758,83498.0,84837.0,85663,79852,81090.0,4002.0,3900.0,3000.0,2892.0,3059.0,3003.0,0
2026,20000.0,2,2,1,42,2,0,0,0,0,0,12426,13143.0,14152.0,14435,14802,15256.0,1225.0,1234.0,517.0,600.0,700.0,710.0,1
2027,80000.0,1,2,2,30,0,0,0,0,0,0,69392,64149.0,53200.0,29707,28427,10072.0,3046.0,1874.0,2000.0,1000.0,1000.0,199.0,0
2028,360000.0,1,1,2,32,0,0,0,0,-1,-1,304907,309972.0,315730.0,113412,2500,0.0,12557.0,13738.0,5053.0,2500.0,0.0,0.0,0
2029,70000.0,1,2,2,31,0,0,0,0,2,0,46079,47232.0,48618.0,51134,50222,48874.0,2200.0,2500.0,3600.0,0.0,1754.0,1892.0,1
2030,30000.0,2,2,1,24,2,2,0,0,0,0,31214,28983.0,28301.0,31072,24147,4007.0,0.0,1400.0,3561.0,483.0,80.0,0.0,1
2031,500000.0,2,1,1,39,0,0,0,0,0,0,358020,360047.0,369045.0,382231,204593,211655.0,15000.0,15000.0,20000.0,10000.0,10000.0,10000.0,0
2032,320000.0,2,2,2,30,2,-1,-1,-1,-1,-1,416,416.0,416.0,416,1829,1833.0,416.0,416.0,416.0,1829.0,1833.0,2148.0,0
2033,500000.0,2,1,1,34,0,0,0,0,0,0,32715,60927.0,76088.0,110294,108964,103548.0,30007.0,30000.0,50000.0,5000.0,5000.0,30000.0,0
2034,240000.0,2,1,1,27,1,-2,-1,-1,0,0,0,0.0,402.0,14350,14129,10222.0,0.0,402.0,14350.0,1129.0,1222.0,204.0,0
2035,50000.0,2,1,2,25,-1,-1,-1,-1,-1,-1,574,801.0,686.0,527,312,442.0,801.0,686.0,527.0,312.0,442.0,8016.0,0
2036,120000.0,2,2,1,39,0,0,0,0,0,0,31611,32264.0,32786.0,33018,27114,26287.0,1562.0,1500.0,1059.0,988.0,922.0,826.0,0
2037,250000.0,2,1,2,32,0,0,0,0,0,0,26465,30762.0,32833.0,34055,34321,23166.0,5000.0,3000.0,2500.0,1000.0,3050.0,4000.0,0
2038,180000.0,2,2,1,39,0,0,0,0,0,0,65710,58159.0,60188.0,61090,62450,63911.0,2500.0,3000.0,2500.0,2500.0,2500.0,3000.0,0
2039,10000.0,2,2,2,22,-1,-1,-1,-1,0,-1,5208,654.0,9954.0,9719,6547,654.0,654.0,9954.0,9919.0,0.0,654.0,264.0,0
2040,200000.0,2,3,1,53,0,0,0,0,0,0,98426,91948.0,17042.0,10075,5107,7789.0,52306.0,1000.0,212.0,102.0,7786.0,4000.0,0
2041,120000.0,2,1,2,29,-1,-1,-1,-1,-1,-1,380,380.0,380.0,380,380,380.0,380.0,380.0,380.0,380.0,380.0,2880.0,0
2042,230000.0,1,2,1,38,-1,-1,-1,-1,-1,-1,326,326.0,326.0,326,326,326.0,326.0,326.0,326.0,326.0,326.0,326.0,0
2043,330000.0,2,1,1,36,1,-2,-2,-1,-1,-1,0,0.0,0.0,1983,0,207.0,0.0,0.0,1983.0,0.0,207.0,49974.0,0
2044,50000.0,2,2,2,28,0,0,0,0,0,0,28457,29491.0,30508.0,31599,32262,32904.0,1492.0,1509.0,1600.0,1170.0,1177.0,1217.0,1
2045,130000.0,1,2,2,32,0,0,-2,-2,-2,-2,27495,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2046,110000.0,1,2,2,26,2,2,2,2,2,2,58112,56620.0,60732.0,61938,63097,64492.0,0.0,5700.0,2800.0,2300.0,2600.0,2300.0,1
2047,30000.0,2,3,2,40,-1,0,0,-1,2,2,2208,7808.0,0.0,196,46,5346.0,7006.0,0.0,196.0,0.0,5300.0,0.0,0
2048,120000.0,2,1,2,25,0,0,-1,0,0,-1,8676,10599.0,5814.0,4426,3038,5184.0,5000.0,5814.0,0.0,0.0,5184.0,7048.0,0
2049,120000.0,2,1,2,28,-2,-1,-1,-1,0,0,398,954.0,0.0,170,170,0.0,958.0,0.0,170.0,0.0,0.0,0.0,0
